team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Bills,BUF,2,WR,554172870,Frank Reeves,2,0,4089,81,15,89.30,50,89.78,5,31,6,246,635,4.92,12.70,39.28
Bills,BUF,2,TE,554173452,Jeremy Palmer,2,0,3358,89,5,15.40,9,100.00,0,71,0,75,154,8.33,17.11,9.25
Bills,BUF,2,WR,554174044,LaShawn Wiggins,2,0,3657,80,11,116.50,68,92.72,6,36,7,342,771,5.03,11.34,61.52
Bills,BUF,2,FB,554173568,Steve McKinney,2,0,3380,41,1,7.40,1,100.00,0,14,1,11,14,11.00,14.00,2.00
Bills,BUF,2,HB,554173639,Roman Sweat,3,0,3491,33,4,14.20,5,100.00,0,14,0,44,37,8.80,7.40,2.49
Bills,BUF,2,TE,554174029,Dalton Kincaid,4,0,2277,86,16,114.20,77,94.66,5,58,12,386,910,5.01,11.82,47.30
Bills,BUF,2,HB,554172981,James Cook,5,0,1304,4,9,15.20,9,62.96,4,28,0,75,80,8.33,8.89,6.15
Bills,BUF,2,HB,554173563,Damien Harris,8,19,9491,20,6,26.50,6,100.00,0,12,2,21,32,3.50,5.33,3.29
Bills,BUF,2,TE,554174047,Dawson Knox,8,0,9546,88,11,31.10,18,96.97,2,57,2,99,191,5.50,10.61,13.47
Bills,BUF,2,WR,554175298,Marquez Valdes-Scantling,9,0,9091,11,3,3.00,4,100.00,0,12,0,12,30,3.00,7.50,3.09
Bills,BUF,2,WR,554173122,Stefon Diggs,12,0,7085,14,17,168.10,94,96.85,3,76,8,469,1555,4.99,16.54,98.44
Broncos,DEN,3,WR,554175625,Demetrious Lane,1,0,3860,15,17,132.90,61,88.53,8,36,7,361,909,5.92,14.90,49.23
Broncos,DEN,3,WR,554175517,Ricky Stump,1,0,4222,81,15,102.10,56,95.33,3,55,6,269,871,4.80,15.55,42.11
Broncos,DEN,3,TE,554173557,Cody Knox,2,0,3360,84,9,34.60,12,94.44,1,31,3,50,109,4.17,9.08,7.25
Broncos,DEN,3,HB,554174921,Kendall Porter,2,0,3704,1,16,53.30,33,92.71,4,54,2,281,417,8.52,12.64,22.76
Broncos,DEN,3,TE,554175112,Dion Clancy,3,0,3522,88,1,0.70,1,100.00,0,7,0,4,7,4.00,7.00,0.47
Broncos,DEN,3,WR,554172523,Calvin Austin III,4,0,1150,82,1,2.70,2,100.00,0,23,0,7,27,3.50,13.50,9.00
Broncos,DEN,3,WR,554174358,Marvin Mims Jr,4,0,2312,19,17,133.10,54,88.63,7,82,9,349,814,6.46,15.07,46.81
Broncos,DEN,3,TE,554173169,Greg Dulcich,5,0,1550,80,13,108.00,47,96.58,2,52,8,236,600,5.02,12.77,36.44
Broncos,DEN,3,FB,554172881,Roger Carter,5,0,2698,43,1,0.80,2,100.00,0,8,0,12,11,6.00,5.50,3.67
