team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Jets,NYJ,17,WR,554174460,Theo Love,3,0,3860,84,1,0.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,QB,554173570,Wes Anderson,3,0,4062,11,11,8.82,19,1,6,13,0,0,2,38,0.18,2.00,1.09
Jets,NYJ,17,HB,554173514,Breece Hall,5,0,1747,20,15,53.30,200,36,4,67,15,6,306,1181,20.40,5.90,89.43
Jets,NYJ,17,WR,554175505,Garrett Wilson,5,0,2040,17,7,81.10,1,7,1,20,0,1,1,20,0.14,20.00,2.39
Jets,NYJ,17,TE,554174847,Jeremy Ruckert,5,0,1932,89,1,-2.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,TE,554174254,Trey McBride,5,0,1830,85,8,60.90,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,HB,554174503,Kene Nwangwu,6,0,1180,27,9,19.20,30,8,1,19,1,0,31,141,3.44,4.70,4.91
Jets,NYJ,17,WR,554174103,Allen Lazard,9,0,8969,10,5,41.30,4,2,1,5,0,0,0,12,0.00,3.00,0.37
Jets,NYJ,17,WR,554174781,Calvin Ridley,9,0,9038,80,4,27.60,0,1,2,0,1,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,FB,554174772,Patrick Ricard,10,0,9274,46,3,0.20,3,0,0,2,1,0,1,1,0.33,0.33,-0.02
Lions,DET,18,FB,554174230,Jermaine Goodrich,1,0,3857,6,3,6.70,4,0,0,3,1,0,0,7,0.00,1.75,0.46
Lions,DET,18,QB,554175486,Craig Milner,2,0,4090,3,17,84.78,66,5,0,11,5,0,5,322,0.29,4.88,16.69
Lions,DET,18,HB,554172707,Percy Patterson,2,0,3858,21,15,46.40,85,17,0,7,7,0,6,230,0.40,2.71,15.90
Lions,DET,18,HB,554172877,Terrelle Parham,2,0,3410,35,4,7.70,8,0,0,7,1,0,0,23,0.00,2.88,4.65
Lions,DET,18,HB,554173410,Jahmyr Gibbs,4,24,2564,26,17,74.90,217,35,3,18,4,0,46,831,2.71,3.83,45.28
Lions,DET,18,WR,554175461,Jameson Williams,5,0,2033,9,1,15.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,WR,554175068,Amon-Ra St. Brown,6,0,1313,14,2,7.60,2,0,0,6,0,0,0,10,0.00,5.00,0.55
Lions,DET,18,TE,554173975,Brevin Jordan,6,0,1379,81,3,1.40,2,1,0,5,0,0,0,10,0.00,5.00,0.79
Lions,DET,18,TE,554173350,Pat Freiermuth,6,0,1377,88,2,6.90,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,WR,554174668,Michael Pittman Jr,7,0,532,11,8,62.50,10,0,1,6,0,0,0,32,0.00,3.20,1.66
Packers,GB,19,QB,554174292,Calvin Clemons,1,0,3711,18,1,0.70,3,0,0,3,0,0,0,7,0.00,2.33,1.40
Packers,GB,19,HB,554175361,Taylor Bronson,1,0,4067,22,4,10.40,20,3,0,17,0,0,13,104,3.25,5.20,8.50
Packers,GB,19,WR,554173489,Kurtis Johnson,2,0,3810,84,2,16.80,3,2,1,60,0,2,0,117,0.00,39.00,26.70
Packers,GB,19,HB,554172461,Ron Paul,2,0,3522,35,2,0.00,8,0,1,14,0,0,10,45,5.00,5.62,17.25
Packers,GB,19,TE,554175547,Trent George,2,0,3942,83,7,22.30,2,5,1,0,0,0,2,-6,0.29,-3.00,-0.20
Packers,GB,19,WR,554174946,John Reid,3,0,3711,82,2,1.50,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,HB,554174013,Oscar Baskerville,3,0,3807,21,17,83.50,150,19,1,40,6,3,133,704,7.82,4.69,49.07
Packers,GB,19,WR,554174752,Jayden Reed,4,0,2365,11,2,1.50,1,2,0,6,0,0,7,6,3.50,6.00,0.23
Packers,GB,19,TE,554174057,Tucker Kraft,4,0,2279,85,2,3.20,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,WR,554175384,Christian Watson,5,0,2013,9,11,130.20,11,7,1,13,0,0,15,53,1.36,4.82,4.24
Packers,GB,19,QB,554175515,Zach Wilson,6,0,1367,2,16,99.78,63,0,1,17,2,0,10,177,0.63,2.81,9.31
Packers,GB,19,HB,554172446,Cam Akers,7,0,72,3,15,126.10,151,19,3,71,16,6,194,946,12.93,6.26,61.53
Packers,GB,19,WR,554173657,Tee Higgins,7,6,351,5,5,30.50,1,4,0,0,0,0,-1,-3,-0.20,-3.00,-1.11
Panthers,CAR,20,HB,554173506,Carlos Brockers,1,0,3711,4,17,94.20,265,42,4,40,11,6,274,1017,16.12,3.84,68.10
Panthers,CAR,20,FB,554175448,Josh Kennedy,1,0,3358,39,5,6.70,5,0,0,5,1,0,1,4,0.20,0.80,0.21
Panthers,CAR,20,WR,554174114,Evan Brown,2,0,3555,87,2,-2.00,0,1,1,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,WR,554172984,Tim Steffa,2,0,4064,11,6,39.20,0,4,2,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,TE,554172679,Charles Rudd,3,0,4082,84,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,QB,554175587,Bryce Young,4,0,2638,9,16,70.24,57,4,2,75,4,1,21,277,1.31,4.86,11.28
Panthers,CAR,20,TE,554174247,Michael Mayer,4,0,2299,86,2,10.60,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,HB,554175427,Zamir White,5,0,2030,31,4,10.70,12,1,0,8,1,0,1,47,0.25,3.92,1.74
Panthers,CAR,20,WR,554174386,Darnell Mooney,7,0,469,85,7,54.50,1,8,0,5,0,0,3,5,0.43,5.00,0.48
Panthers,CAR,20,WR,554173847,Justin Jefferson,7,0,385,18,9,92.10,1,14,0,7,0,0,0,7,0.00,7.00,0.10
Panthers,CAR,20,TE,554172495,Mark Andrews,9,0,8802,87,1,7.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,HB,554174869,Marquise Ware,1,0,3869,24,3,9.00,12,0,0,5,1,0,0,39,0.00,3.25,8.27
Patriots,NE,21,TE,554173218,Chandler Farrell,3,0,3384,83,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,WR,554174265,George Cadet,3,0,3571,85,2,-2.00,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,HB,554172928,Jamal Callahan,3,0,3807,36,13,34.50,74,14,0,15,8,0,12,312,0.92,4.22,14.63
Patriots,NE,21,QB,554174128,Will Levis,4,0,7889,0,2,12.18,2,1,0,5,1,0,5,5,2.50,2.50,2.92
Patriots,NE,21,QB,554174778,Desmond Ridder,5,0,1912,1,17,128.12,72,3,5,22,3,2,19,308,1.12,4.28,18.07
Patriots,NE,21,WR,554175219,Tyquan Thornton,5,0,1985,11,4,31.00,2,2,0,2,0,0,0,0,0.00,0.00,-0.09
Patriots,NE,21,HB,554175138,D'Andre Swift,7,0,599,32,17,112.20,220,36,1,35,11,3,181,1023,10.65,4.65,54.69
Patriots,NE,21,WR,554174065,Cooper Kupp,10,0,8626,82,10,82.50,7,3,0,13,0,0,2,26,0.20,3.71,3.51
Patriots,NE,21,TE,554174042,George Kittle,10,0,8622,87,7,48.40,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,WR,554173671,Tyreek Hill,11,0,8052,10,5,58.60,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,WR,554175436,Chris Edwards,1,0,3782,89,3,17.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,FB,554173090,Lucas Drayton,1,0,3384,40,1,0.20,1,0,0,2,0,0,1,2,1.00,2.00,0.33
Raiders,LV,22,HB,554174592,Demetrius Allen,3,0,3846,24,14,89.10,195,24,3,54,12,6,174,1026,12.43,5.26,57.94
Raiders,LV,22,QB,554174389,Josh Watson,3,0,4065,7,8,94.74,36,5,1,10,2,0,6,147,0.75,4.08,14.72
Raiders,LV,22,QB,554175117,C.J. Stroud,4,0,2417,7,6,35.54,16,1,1,16,2,0,6,117,1.00,7.31,14.59
Raiders,LV,22,WR,554174360,Jonathan Mingo,4,0,2314,15,4,29.00,1,5,0,4,0,0,0,4,0.00,4.00,0.18
Raiders,LV,22,TE,554174247,Michael Mayer,4,0,2299,86,4,28.50,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,HB,554175425,Rachaad White,5,0,2028,27,11,21.10,76,15,1,18,4,0,57,327,5.18,4.30,42.25
Raiders,LV,22,HB,554173634,Khalil Herbert,6,0,1245,30,2,3.10,5,1,0,4,1,0,0,11,0.00,2.20,0.99
Raiders,LV,22,WR,554173885,Diontae Johnson,8,0,9529,18,1,24.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,WR,554173548,Mecole Hardman Jr,8,0,9489,84,1,7.00,1,0,0,0,0,0,0,-3,0.00,-3.00,-3.00
Raiders,LV,22,TE,554172495,Mark Andrews,9,0,8802,87,4,6.60,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,TE,554173233,Evan Engram,10,0,8545,17,1,2.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,QB,554172731,Jacoby Brissett,11,0,7911,8,2,0.50,3,0,0,7,0,0,0,5,0.00,1.67,-0.17
Rams,LAR,23,HB,554174416,Levi Frost,1,0,4089,25,17,112.40,123,14,2,53,9,7,184,794,10.82,6.46,57.71
Rams,LAR,23,QB,554174889,Andrew Moore,2,0,3363,3,3,25.76,5,0,1,6,0,0,3,0,1.00,0.00,1.00
Rams,LAR,23,WR,554175008,Tavaris Towns,2,0,4207,15,4,21.70,0,3,2,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,HB,554172607,Vernon Thomas,3,0,3347,2,7,0.00,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,WR,554174081,Matt Landers,4,0,0,7,2,10.70,1,1,1,0,0,0,1,-1,0.50,-1.00,-0.08
Rams,LAR,23,QB,554173733,Sam Howell,5,0,1770,14,14,75.10,45,2,4,27,4,3,19,244,1.36,5.42,12.67
Rams,LAR,23,WR,554175239,Kadarius Toney,6,0,1261,1,8,71.80,4,5,0,9,0,0,9,17,1.13,4.25,1.53
